Genus_species	Family	Genus	GASPAR code	Max	DepthMIN	DepthMAX	HomeRange	Activity	Schooling	Level	Diet 7cl2	HerbivoreType	Diet Spe Coral	Habitat Spe Coral	Size	SizeClass	Coeffa	Coeffb	Level coeff	CommLoc	CommReg	TargetLoc	Commercial	Ciguatera	Resilience
Fusigobius duospilus	Gobiidae	Fusigobius	17056	NA	1	42	1	D	3	1	IM	0	0	0	6	2	0.026387532	2.622565603	famille	0	0	0	NA	0	high
Fusigobius neophytus	Gobiidae	Fusigobius	7215	NA	0	25	1	D	1	1	IM	0	0	0	7.5	2	0.026387532	2.622565603	famille	0	0	0	0	0	high
Gnathanodon speciosus	Carangidae	Gnathanodon	4464	120	1	2	3	B	4	3	FC	0	0	0	120	6	0.019921501	2.994962473	sp	0	1	2	2	0	medium
Gnathodentex aureolineatus	Lethrinidae	Gnathodentex	1832	30	3	30	2	N	5	1	IM	0	0	0	30	4	0.018039674	3.062543258	sp	1	1	2	1	0	medium
Gnatholepis anjerensis	Gobiidae	Gnatholepis	23595	5	1	46	1	D	1	1	OM	0	0	0	8.4	2	0.015282401	3.007898742	genus	0	0	0	0	0	high
Gnatholepis cauerensis cauerensis	Gobiidae	Gnatholepis	9950	8	0	48	1	D	1	1	OM	0	0	0	6	2	0.017521171	2.826519537	genus	0	0	0	NA	0	high
Gobie sp	Gobiidae	NA	F-405	NA	NA	NA	1	D	1	1	NA	NA	NA	NA	NA	NA	0.02639	2.62257	famille	0	0	0	NA	0	NA
Gomphosus varius	Labridae	Gomphosus	5626	30	2	30	2	D	1	1	IM	0	0	1	30	3	0.024366779	2.702688094	sp	0	0	1	0	0	medium
Grammistes sexlineatus	Serranidae	Grammistes	4925	30	1	130	1	N	1	2	FC	0	0	0	30	4	0.012353865	3.233702946	famille	0	0	0	0	0	medium
Gymnosarda unicolor	Scombridae	Gymnosarda	106	250	10	100	3	B	1	3	FC	0	0	0	247.9802	6	0.018091246	2.835905973	famille	0	0	2	1	0	low
Gymnothorax flavimarginatus	Muraenidae	Gymnothorax	5392	123	1	150	1	N	1	1	FC	0	0	0	240	6	0.000517944	3.30314261	genus	0	0	0	0	0	NA
Gymnothorax javanicus	Muraenidae	Gymnothorax	6380	250	0	50	1	N	1	1	FC	0	0	0	300	6	0.000517944	3.30314261	genus	0	0	0	0	0	NA
Gymnothorax meleagris	Muraenidae	Gymnothorax	5394	120	1	51	1	N	1	1	FC	0	0	0	120	6	0.000517944	3.30314261	genus	0	0	0	0	0	NA
Gymnothorax undulatus	Muraenidae	Gymnothorax	4905	150	9	110	1	N	1	1	FC	0	0	0	150	6	0.000517944	3.30314261	genus	0	0	0	0	0	NA
Halichoeres claudia	Labridae	Halichoeres	65073	15	0	0	2	D	3	1	IM	0	0	0	8.8	2	0.016013316	2.987419974	genus	0	0	0	NA	0	high
Halichoeres hortulanus	Labridae	Halichoeres	12663	27	1	30	2	D	1	1	IM	0	0	0	27	4	0.016013316	2.987419974	genus	1	0	1	0	0	high
Halichoeres margaritaceus	Labridae	Halichoeres	5630	12.5	0	5	2	D	3	1	IM	0	0	0	12.5	3	0.016013316	2.987419974	genus	0	0	0	0	0	high
Halichoeres marginatus	Labridae	Halichoeres	5631	18	0	30	2	D	1	1	IM	0	0	1	18	3	0.016013316	2.987419974	genus	0	0	0	0	0	high
Halichoeres sp	Labridae	Halichoeres	G-1901	NA	NA	NA	1	D	1	1	IM	NA	NA	NA	NA	NA	0.016013316	2.987419974	genus	0	0	0	NA	0	NA
Halichoeres trimaculatus	Labridae	Halichoeres	5634	27	2	30	2	D	3	1	IM	0	0	0	27	4	0.027490071	2.735843378	sp	0	0	0	0	0	medium
Hemigymnus fasciatus	Labridae	Hemigymnus	5635	80	1	20	2	D	1	1	IM	0	0	1	80	4	0.024790041	2.912844772	genus	0	0	1	0	0	medium
Hemiramphus depauperatus	Hemiramphidae	Hemiramphus	7507	150	0	1	3	B	4	3	PK	0	0	0	34.6	4	0.00068	3.57549	genus	0	0	0	NA	0	high
Hemitaurichthys polylepis	Chaetodontidae	Hemitaurichthys	5586	18	3	40	2	D	3	2	PK	0	0	0	18	3	0.042050947	2.847331765	famille	0	0	0	0	0	high
Heniochus acuminatus	Chaetodontidae	Heniochus	5588	25	2	75	1	D	2	1	IM	0	0	0	25	4	0.02469887	3.10580226	sp	0	0	0	0	0	high
Heniochus chrysostomus	Chaetodontidae	Heniochus	5589	18	2	40	1	D	2	1	IM	0	1	1	18	3	0.016134039	3.262174435	sp	0	0	0	0	0	high
Heniochus monoceros	Chaetodontidae	Heniochus	5590	23	2	30	1	D	2	1	IM	0	0	1	24	4	0.016997049	3.210582079	sp	0	0	1	0	0	high
Himantura fai	Dasyatidae	Himantura	12587	150	0	0	3	B	1	1	IM	0	0	0	183	6	0.00937	3.35249	famille	0	0	0	NA	0	low
Heteropriacanthus cruentatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Holocentridae sp	Holocentridae	NA	F-243	NA	NA	NA	NA	N	NA	2	NA	NA	NA	NA	NA	NA	0.0222	3.05893	famille	0	1	2	NA	0	medium
Hologymnosus annulatus	Labridae	Hologymnosus	5637	40	0	30	3	D	1	1	IM	0	0	1	40	4	0.010669345	3.177649683	famille	0	0	0	0	0	medium
Iniistius pavo	Labridae	Iniistius	5613	41	1	100	2	D	1	1	IM	0	0	0	41	4	0.010669345	3.177649683	famille	0	0	0	0	0	medium
Istiblennius edentulus	Blenniidae	Istiblennius	6049	17.4	0	5	1	D	3	1	HD	Grazer	0	0	16	3	0.002176338	3.900642826	NA	0	0	0	NA	0	high
Kyphosus cinerascens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Kyphosus vaigiensis	Kyphosidae	Kyphosus	5806	70	1	24	3	D	4	2	HM	Browser	0	0	70	5	0.019982672	3.036956726	sp	0	1	2	2	0	low
Labre sp	Labridae	NA	F-362	NA	NA	NA	NA	D	NA	1	NA	NA	NA	NA	NA	NA	0.01067	3.17765	famille	0	0	0	NA	0	NA
Labroides bicolor	Labridae	Labroides	5650	14	2	40	1	D	2	1	IM	0	0	1	15	3	0.006365786	3.201577738	genus	0	0	0	0	0	high
Labroides dimidiatus	Labridae	Labroides	5459	11	1	40	1	D	2	1	IM	0	0	1	14	3	0.005854909	3.230934257	sp	0	0	0	0	0	medium
Labroides rubrolabiatus	Labridae	Labroides	23530	9	1	32	1	D	2	1	IM	0	0	0	9	3	0.006365786	3.201577738	genus	0	0	0	0	0	high
Lactoria cornuta	Ostraciidae	Lactoria	6399	46	18	100	3	B	1	1	IM	0	0	0	46	4	0.006457845	3.167604278	NA	0	0	0	NA	0	high
Lepidozygus tapeinosoma	Pomacentridae	Lepidozygus	5683	10	1	30	1	D	5	2	PK	0	0	0	10	2	0.020908767	3.190800285	famille	0	0	0	0	0	high
Leptoscarus vaigiensis	Scaridae	Leptoscarus	4360	35	0	0	2	D	4	1	HD	Browser	0	0	35	4	0.016285639	2.990520051	sp	0	0	2	0	0	high
Lethrinus olivaceus	Lethrinidae	Lethrinus	1864	100	1	185	3	B	1	1	FC	0	0	0	100	6	0.029360671	2.850635264	sp	1	1	2	1	1	low
Lethrinus xanthochilus	Lethrinidae	Lethrinus	1852	60	0	150	3	B	1	1	IM	0	0	1	70	5	0.020065193	2.96390263	sp	1	1	2	1	1	low
Liza vaigiensis	Mugilidae	Liza	5656	48	0	0	3	B	4	2	HD	0	0	0	63	5	0.014056981	3.022846675	genus	0	0	1	2	0	low
Lutjanus bohar	Lutjanidae	Lutjanus	1417	90	4	180	2	N	4	2	FC	0	0	1	90	6	0.015628466	3.058646488	sp	0	0	0	0	1	medium
Lutjanus fulvus	Lutjanidae	Lutjanus	262	40	1	75	2	B	3	2	IM	0	0	0	40	4	0.021061453	2.974331519	sp	1	1	2	1	0	medium
Lutjanus gibbus	Lutjanidae	Lutjanus	265	50	1	150	2	B	4	1	IM	0	0	1	50	5	0.013092867	3.137520668	sp	1	0	2	2	1	medium
Lutjanus kasmira	Lutjanidae	Lutjanus	156	35	3	265	2	N	5	2	IM	0	0	1	40	4	0.008424814	3.246964089	sp	0	1	2	0	0	medium
Macropharyngodon meleagris	Labridae	Macropharyngodon	4984	15	0	30	1	D	3	1	IM	0	0	0	15	3	0.010669345	3.177649683	famille	0	0	0	0	0	high
Melichthys niger	Balistidae	Melichthys	966	50	0	75	3	D	4	3	PK	0	1	0	50	4	0.005696442	3.393028006	famille	0	0	0	0	0	medium
Melichthys vidua	Balistidae	Melichthys	5838	40	4	60	3	D	4	3	PK	0	0	1	40	4	0.005696442	3.393028006	famille	0	0	0	0	0	medium
Monotaxis grandoculis	Lethrinidae	Monotaxis	1869	60	1	100	2	N	1	2	IM	0	0	1	60	5	0.022959421	3.02223458	sp	1	1	2	2	1	medium
Mulloidichthys flavolineatus	Mullidae	Mulloidichthys	5983	43	5	35	2	D	4	1	IM	0	0	0	43	4	0.011973899	3.101092515	sp	1	1	2	1	0	medium
Mulloidichthys vanicolensis	Mullidae	Mulloidichthys	5984	38	5	113	2	D	4	1	IM	0	0	0	38	4	0.007426333	3.293438811	genus	1	1	2	1	0	medium
Myripristis adusta	Holocentridae	Myripristis	6506	35	1	25	2	N	3	2	PK	0	0	1	35	4	0.027619109	3.030413227	genus	0	1	2	1	0	high
Myripristis amaena	Holocentridae	Myripristis	7773	25	25	52	2	N	3	2	PK	0	0	0	26.5	4	0.015755816	3.261142509	sp	0	1	2	1	0	medium
Myripristis berndti	Holocentridae	Myripristis	4910	30	1	50	2	N	3	2	PK	0	0	0	30	4	0.027693717	3.003363767	sp	0	1	2	1	0	high
Myripristis kuntee	Holocentridae	Myripristis	7306	20	2	55	2	N	3	2	PK	0	0	1	26	4	0.009911928	3.467646855	sp	0	1	2	1	0	high
Myripristis murdjan	Holocentridae	Myripristis	5408	30	1	50	2	N	3	2	PK	0	0	0	60	4	0.027619109	3.030413227	genus	1	0	2	1	0	medium
Myripristis sp	Holocentridae	Myripristis	G-5158	NA	NA	NA	2	N	3	2	PK	NA	NA	NA	NA	NA	0.027619109	3.030413227	genus	1	1	2	NA	0	NA
Myripristis violacea	Holocentridae	Myripristis	7309	23	4	25	2	N	3	2	PK	0	0	1	35	4	0.036397227	2.940259801	sp	0	0	2	1	0	high
Naso annulatus	Acanthuridae	Naso	6019	100	1	60	3	D	4	3	PK	0	0	0	100	6	0.051032424	2.715369535	sp	1	1	2	2	0	low
Naso brachycentron	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Naso brevirostris	Acanthuridae	Naso	6021	60	2	122	3	D	5	2	OM	Browser	0	1	60	5	0.010649453	3.242973288	sp	1	1	2	2	0	medium
Naso hexacanthus	Acanthuridae	Naso	1263	75	6	150	3	D	5	3	PK	0	0	0	75	5	0.020165194	2.955825192	sp	0	1	2	2	0	low
Naso lituratus	Acanthuridae	Naso	1264	45	0	90	2	D	3	1	HM	Browser	0	1	46	4	0.008480656	3.249644164	genus	1	1	2	1	0	medium
Naso unicornis	Acanthuridae	Naso	1265	70	1	180	2	D	3	1	HM	Browser	0	1	70	5	0.017880286	3.035454104	sp	1	1	2	2	0	low
Naso vlamingii	Acanthuridae	Naso	6024	60	1	50	3	D	3	2	PK	0	0	1	60	5	0.008480656	3.249644164	genus	1	1	2	1	0	low
Nebrius ferrugineus	Ginglymostomatidae	Nebrius	5895	320	1	70	2	N	1	1	IM	0	0	0	320	6	0.000960454	3.565558135	famille	0	0	0	0	0	very low
Negaprion acutidens	Carcharhinidae	Negaprion	896	380	0	92	3	B	1	2	FC	0	0	0	380	6	0.000960454	3.565558135	famille	0	0	0	0	0	very low
Nemateleotris magnifica	Ptereleotridae	Nemateleotris	6629	8	6	70	1	D	2	2	PK	0	0	1	9	2	0.026387532	2.622565603	famille	0	0	0	0	0	high
Neocirrhites armatus	Cirrhitidae	Neocirrhites	5832	9	1	10	1	D	1	1	IM	0	0	1	9	2	0.009273273	3.268401098	famille	0	0	0	0	0	high
Neoniphon argenteus	Holocentridae	Neoniphon	7310	24	0	0	2	N	3	2	PK	0	0	1	24	4	0.031647893	2.823263693	sp	0	1	1	1	0	high
Neoniphon opercularis	Holocentridae	Neoniphon	6582	35	20	NA	2	N	3	2	PK	0	0	1	35	4	0.028791445	2.867153318	genus	0	1	1	1	0	high
Neoniphon sammara	Holocentridae	Neoniphon	4911	25	0	46	2	N	3	2	PK	0	0	1	32	4	0.027615397	2.888353581	sp	0	1	1	1	0	high
Novaculichthys taeniourus	Labridae	Novaculichthys	5610	30	3	25	2	D	1	1	IM	0	0	0	30	4	0.010669345	3.177649683	famille	0	0	0	0	0	medium 
Odonus niger	Balistidae	Odonus	1311	50	5	40	3	D	4	3	PK	0	0	1	50	4	0.005696442	3.393028006	famille	0	0	0	0	0	medium
Ostracion cubicus	Ostraciidae	Ostracion	6555	45	1	280	2	D	1	1	IS	0	1	1	45	4	0.128822163	2.519494589	sp	0	0	0	0	0	high
Ostracion meleagris	Ostraciidae	Ostracion	6556	25	1	30	2	D	1	1	IS	0	1	1	25	4	0.128822163	2.519494589	genus	0	0	0	0	0	high
Oxycheilinus unifasciatus	Labridae	Oxycheilinus	5605	46	1	160	2	D	3	1	FC	0	0	1	46	4	0.010669345	3.177649683	famille	0	0	0	0	0	medium
Paracirrhites arcatus	Cirrhitidae	Paracirrhites	5835	14	1	91	1	D	1	1	IM	0	0	1	20	3	0.009273273	3.268401098	famille	0	0	0	0	0	NA
Paracirrhites forsteri	Cirrhitidae	Paracirrhites	5952	22	1	35	1	D	1	1	FC	0	0	1	22	4	0.009273273	3.268401098	famille	0	0	0	0	0	NA
Paracirrhites hemistictus	Cirrhitidae	Paracirrhites	5953	18	1	20	1	D	1	1	FC	0	0	0	29	4	0.009273273	3.268401098	famille	0	0	0	0	0	NA
Parapercis millepunctata	Pinguipedidae	Parapercis	6670	18	3	50	2	D	1	1	IM	0	0	1	18	3	0.013311784	2.942682432	genus	0	0	0	0	0	medium
Parupeneus barberinus	Mullidae	Parupeneus	5987	40	0	100	2	D	1	1	IM	0	0	0	60	5	0.01306709	3.122492248	sp	1	1	2	1	0	medium
Parupeneus ciliatus	Mullidae	Parupeneus	5989	38	2	91	2	D	3	1	IM	0	0	1	38	4	0.011633172	3.219917119	sp	1	0	2	1	0	medium
Parupeneus cyclostomus	Mullidae	Parupeneus	5990	50	8	100	2	D	1	1	FC	0	0	1	50	5	0.014446061	3.129919843	genus	1	0	2	1	0	medium
Parupeneus insularis	Mullidae	Parupeneus	60849	31	30	75	2	D	3	1	IM	0	0	1	30	3	0.014446061	3.129919843	genus	1	0	2	NA	0	high
Parupeneus multifasciatus	Mullidae	Parupeneus	5993	30	3	161	2	D	3	1	IM	0	0	1	35	4	0.01135854	3.210819176	sp	1	1	2	0	0	high
Parupeneus pleurostigma	Mullidae	Parupeneus	5994	33	1	75	2	D	3	1	IM	0	0	1	33	4	0.014446061	3.129919843	genus	0	1	2	0	0	high
Petroscirtes xestus	Blenniidae	Petroscirtes	6077	7	0	0	1	D	1	1	OM	0	0	0	7	2	0.014446061	3.129919843	genus	0	0	0	NA	0	high
Plagiotremus tapeinosoma	Blenniidae	Plagiotremus	6072	14	8	30	1	D	1	2	IM	0	0	0	14	3	0.005657362	2.908320997	sp	0	0	0	0	0	high
Platax orbicularis	Ephippidae	Platax	5737	60	5	30	3	D	4	2	OM	Browser	0	0	50	5	0.04430589	2.951489322	famille	1	1	2	1	0	medium
Platybelone argalus argalus	Belonidae	Platybelone	973	45	0	2	3	B	4	3	FC	0	0	0	50	4	0.000749255	3.203146771	famille	0	0	0	NA	0	medium
Plectroglyphidodon dickii	Pomacentridae	Plectroglyphidodon	5709	11	1	15	1	D	1	1	OM	Grazer	1	2	11	2	0.020908767	3.190800285	famille	0	0	0	0	0	high
Plectroglyphidodon flaviventris	Pomacentridae	Plectroglyphidodon	10242	7	5	12	1	D	1	1	OM	Grazer	0	1	7	2	0.020908767	3.190800285	famille	0	0	0	NA	0	high
Plectroglyphidodon johnstonianus	Pomacentridae	Plectroglyphidodon	5711	9	1	18	1	D	1	1	HD	Grazer	1	2	14	2	0.020908767	3.190800285	famille	0	0	0	0	0	high
Plectroglyphidodon lacrymatus	Pomacentridae	Plectroglyphidodon	5712	10	1	40	1	D	1	1	OM	Grazer	0	0	10	2	0.020908767	3.190800285	famille	0	0	0	0	0	high
Plectroglyphidodon phoenixensis	Pomacentridae	Plectroglyphidodon	5714	9	0	8	1	D	1	1	OM	Grazer	0	1	9	2	0.020908767	3.190800285	famille	0	0	0	NA	0	high
Plectroglyphidodon sp	Pomacentridae	Plectroglyphidodon	G-5510	NA	NA	NA	1	D	1	1	NA	NA	NA	NA	NA	NA	0.020908767	3.190800285	famille	0	0	0	NA	0	NA
Polydactylus sexfilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Pomacanthus imperator	Pomacanthidae	Pomacanthus	6504	38	1	100	1	D	1	1	IS	0	0	0	40	4	0.066943483	2.72233293	genus	0	0	1	0	0	medium
Pomacentrus pavo	Pomacentridae	Pomacentrus	5726	8.5	1	16	1	D	4	2	PK	0	0	1	8.5	2	0.025178248	2.971529773	sp	0	0	0	0	0	high
Pomacentrus sp	Pomacentridae	Pomacentrus	G-1670	NA	NA	NA	1	D	NA	NA	NA	NA	NA	NA	NA	NA	0.066943483	2.72233293	genus	0	0	0	NA	0	NA
Pomachromis fuscidorsalis	Pomacentridae	Pomacentrus	10282	6	1	18	1	D	4	2	PK	0	0	0	6	1	0.066943483	2.72233293	genus	0	0	0	0	0	high
Priacanthus hamrur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Pseudanthias mooreanus	Serranidae	Pseudanthias	59194	7	0	0	1	D	3	2	PK	0	0	1	7.2	2	0.014034763	3.139904735	genus	0	0	0	NA	0	high
Pseudanthias olivaceus	Serranidae	Pseudanthias	46510	12	1	34	1	D	5	2	PK	0	0	1	8.77	2	0.014034763	3.139904735	genus	0	0	0	NA	0	high
Pseudanthias pascalus	Serranidae	Pseudanthias	6934	17	5	60	1	D	5	2	PK	0	0	1	20	3	0.014034763	3.139904735	genus	0	0	0	0	0	high
Pseudobalistes flavimarginatus	Balistidae	Pseudobalistes	6027	60	2	50	2	D	1	1	IM	0	1	1	60	5	0.072552933	2.760280665	genus	0	0	1	0	0	high
Pseudocaranx dentex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Pseudocheilinus evanidus	Labridae	Pseudocheilinus	5616	7.3	6	61	1	D	1	1	IM	0	0	1	8	2	0.010669345	3.177649683	famille	0	0	0	0	0	high
Pseudocheilinus hexataenia	Labridae	Pseudocheilinus	5617	6.1	2	35	1	D	3	1	IM	0	0	1	10	2	0.010669345	3.177649683	famille	0	0	0	0	0	high
Pseudocheilinus octotaenia	Labridae	Pseudocheilinus	5618	10	2	50	1	D	1	1	IM	0	0	1	14	3	0.010669345	3.177649683	famille	0	0	0	0	0	high
Pseudocheilinus tetrataenia	Labridae	Pseudocheilinus	5619	5.5	6	44	1	D	1	1	IM	0	0	1	7.5	2	0.010669345	3.177649683	famille	0	0	0	0	0	high
Pseudodax moluccanus	Labridae	Pseudodax	5594	30	3	60	2	D	1	1	IM	0	0	0	30	4	0.010669345	3.177649683	famille	0	0	0	0	0	medium
Pseudojuloides atavai	Labridae	Pseudojuloides	4849	13	12	31	2	D	3	3	PK	0	0	0	13	3	0.010669345	3.177649683	famille	0	0	0	NA	0	high
Ptereleotris evides	Ptereleotridae	Ptereleotris	4375	14	2	15	1	D	4	2	PK	0	0	0	14	3	0.026387532	2.622565603	famille	0	0	0	0	0	NA
Ptereleotris microlepis	Ptereleotridae	Ptereleotris	4381	13	1	50	1	D	4	2	PK	0	0	0	13	2	0.026387532	2.622565603	famille	0	0	0	0	0	NA
Ptereleotris zebra	Ptereleotridae	Ptereleotris	4384	11	2	31	1	D	4	2	PK	0	0	0	12	3	0.026387532	2.622565603	famille	0	0	0	0	0	NA
Pterocaesio tile	Caesionidae	Pterocaesio	939	30	0	60	3	D	5	3	PK	0	0	1	30	4	0.009145403	3.233786602	genus	0	0	0	1	0	high
Pterois antennata	Scorpaenidae	Pterois	4914	20	2	50	1	N	1	2	IM	0	0	0	20	3	0.035807276	2.696588007	genus	0	0	0	0	0	medium
Pterois radiata	Scorpaenidae	Pterois	4913	24	1	30	1	N	1	2	FC	0	0	0	24	4	0.035807276	2.696588007	genus	0	0	0	0	0	medium
Pygoplites diacanthus	Pomacanthidae	Pygoplites	6572	25	1	48	1	D	1	1	IS	0	0	1	25	4	0.058435152	2.718277699	famille	0	0	0	0	0	medium
Rhinecanthus aculeatus	Balistidae	Rhinecanthus	5839	30	0	50	1	D	1	1	IM	0	1	0	30	4	0.005696442	3.393028006	famille	0	0	0	0	0	high
Rhinecanthus lunula	Balistidae	Rhinecanthus	13774	28	10	NA	1	D	1	1	IM	0	0	0	28	4	0.005696442	3.393028006	famille	0	0	0	0	0	medium
Rhinecanthus rectangulus	Balistidae	Rhinecanthus	5840	30	10	20	1	D	1	1	IM	0	0	0	30	4	0.005696442	3.393028006	famille	0	0	0	0	0	medium
Sargocentron caudimaculatum	Holocentridae	Sargocentron	4907	25	2	40	2	N	1	2	IM	0	0	0	25	4	0.021915122	3.047386866	genus	0	1	2	0	0	high
Sargocentron diadema	Holocentridae	Sargocentron	4699	17	1	60	2	N	1	2	IM	0	0	1	17	3	0.025047756	2.955222469	sp	0	0	0	0	0	high
Sargocentron microstoma	Holocentridae	Sargocentron	5841	20	1	183	2	N	1	2	IM	0	0	1	20	4	0.021915122	3.047386866	genus	0	1	0	0	0	high
Sargocentron spiniferum	Holocentridae	Sargocentron	6507	45	1	122	2	N	1	2	IM	0	0	0	51	4	0.015405854	3.118811109	sp	1	1	2	2	0	medium
Sargocentron tiere	Holocentridae	Sargocentron	4908	33	1	183	2	N	1	2	IM	0	0	0	33	4	0.015405854	3.118811109	sp	0	1	1	1	0	high
Sargocentron tiereoides	Holocentridae	Sargocentron	7311	17	15	36	2	N	1	2	IM	0	0	0	17	3	0.021915122	3.047386866	genus	0	0	0	NA	0	high
Saurida gracilis	Synodontidae	Saurida	4534	32	0	135	2	B	1	1	FC	0	0	0	32	4	0.0065743	3.164927539	sp	0	0	0	0	0	high
Scarus altipinnis	Scaridae	Scarus	5540	60	0	50	2	D	5	1	OM	Scrapers	0	1	60	5	0.018396276	3.029320796	sp	1	1	2	2	0	medium
Scarus festivus	Scaridae	Scarus	5544	45	3	30	2	D	1	1	OM	Scrapers	0	0	45	5	0.023373877	2.956463124	genus	1	1	2	NA	0	medium
Scarus forsteni	Scaridae	Scarus	5545	55	3	30	2	D	1	1	OM	Scrapers	0	2	55	4	0.023373877	2.956463124	genus	1	1	2	1	0	medium
Scarus frenatus	Scaridae	Scarus	5546	47	3	20	2	D	1	1	OM	Scrapers	1	2	47	4	0.023373877	2.956463124	genus	1	1	2	1	0	medium
Scarus ghobban	Scaridae	Scarus	5548	90	3	36	2	D	3	1	OM	Scrapers	1	0	90	5	0.016504504	3.041159047	NA	0	0	2	NA	0	medium
Scarus globiceps	Scaridae	Scarus	4970	45	0	12	2	D	1	1	OM	Scrapers	0	1	27	4	0.023373877	2.956463124	genus	1	1	2	1	0	medium
Scarus longipinnis	Scaridae	Scarus	4981	40	10	55	2	D	1	1	OM	Scrapers	0	0	40	4	0.023373877	2.956463124	genus	1	1	2	1	0	high
Scarus niger	Scaridae	Scarus	5550	40	0	15	2	D	1	1	OM	Scrapers	0	1	40	4	0.013346043	3.159957025	sp	1	1	2	1	0	high
Scarus oviceps	Scaridae	Scarus	5551	30	1	15	2	D	1	1	OM	Scrapers	0	1	35	4	0.023373877	2.956463124	genus	1	1	2	1	0	high
Scarus psittacus	Scaridae	Scarus	5553	30	2	25	2	D	4	1	OM	Scrapers	0	1	30	4	0.010450903	3.318708889	sp	1	1	2	1	0	high
Scarus rubroviolaceus	Scaridae	Scarus	5555	70	1	36	2	D	3	1	OM	Scrapers	0	1	70	5	0.023373877	2.956463124	genus	1	1	2	2	0	medium
Scarus schlegeli	Scaridae	Scarus	4975	40	1	50	2	D	4	1	OM	Scrapers	0	1	40	4	0.023058664	2.969191667	sp	0	1	2	1	0	medium
Scarus sp	Scaridae	Scarus	G-3551	NA	NA	NA	2	D	NA	1	OM	NA	NA	NA	NA	NA	0.023373877	2.956463124	genus	1	1	2	NA	0	NA
Scomberoides lysan	Carangidae	Scomberoides	1951	110	0	100	3	B	3	3	FC	0	0	0	110	6	0.010846683	2.923019362	sp	0	0	2	1	0	medium
Scorpaenopsis diabolus	Scorpaenidae	Scorpaenopsis	4921	30	1	70	1	N	1	1	FC	0	0	0	30	4	0.013051843	3.260664002	genus	0	0	0	0	0	low
Scorpaenopsis macrochir	Scorpaenidae	Scorpaenopsis	5820	13.6	1	75	1	N	1	1	FC	0	0	0	13	3	0.013051843	3.260664002	genus	0	0	0	NA	0	medium
Scorpaenopsis sp	Scorpaenidae	Scorpaenopsis	G-8589	NA	NA	NA	1	N	1	1	NA	NA	NA	NA	NA	NA	0.013051843	3.260664002	genus	0	0	0	NA	0	NA
Sebastapistes tinkhami	Scorpaenidae	Sebastapistes	16869	10	0	0	1	N	1	1	IM	0	0	0	8	2	0.02459	2.90753	famille	0	0	0	NA	0	high
Sectator ocyurus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Selar crumenophthalmus	Carangidae	Selar	387	40	0	170	3	B	5	3	PK	0	0	0	30	5	0.009700861	3.193775969	sp	1	0	2	2	0	high
Seriola lalandi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Seriola rivoliana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Siganus argenteus	Siganidae	Siganus	4614	40	0	40	3	D	5	1	HD	Grazer	0	0	40	4	0.010902526	3.154186078	sp	1	1	2	2	0	high
Siganus spinus	Siganidae	Siganus	4457	28	1	50	3	D	5	1	HD	Grazer	0	0	28	3	0.015017813	3.092509324	sp	1	1	2	1	0	high
Sphyraena barracuda	Sphyraenidae	Sphyraena	1235	190	1	100	3	N	3	3	FC	0	0	0	200	6	0.006170758	3.010950828	sp	0	0	2	1	0	low
Stegastes albifasciatus	Pomacentridae	Stegastes	4340	13	0	4	1	D	3	1	HD	Grazer	0	0	13	3	0.039542536	2.989098757	genus	0	0	0	0	0	high
Stegastes fasciolatus	Pomacentridae	Stegastes	4347	15	1	30	1	D	3	1	HD	Grazer	0	0	15	3	0.002813065	4.062943115	sp	0	0	0	0	0	high
Stegastes lividus	Pomacentridae	Stegastes	4351	11	1	5	1	D	4	1	HD	Grazer	0	2	13	3	0.039542536	2.989098757	genus	0	0	0	NA	0	high
Stegastes nigricans	Pomacentridae	Stegastes	4352	14	1	12	1	D	4	1	HD	Grazer	0	2	14	3	0.038408298	3.009999217	sp	0	0	0	0	0	high
Stethojulis bandanensis	Labridae	Stethojulis	5640	15	3	30	2	D	3	1	IM	0	0	1	15	3	0.030347902	2.581	sp	0	0	0	0	0	high
